,Unnamed: 0,Security Number,ISIN,Name(Hebrew),Name(English),Symbol(Hebrew),symbol
0,0,373019,IL0003730194,אאורה,AURA,אאורה,AURA
8,8,1100957,IL0011009573,אבגול,AVGOL,אבגל,AVGL
11,11,1105055,IL0011050551,אבוג'ן,EVOGENE,אבגן,EVGN
12,12,106013,IL0001060131,אביב ארלון,AVIV ARLON,אבלן,AVLN
14,14,444018,IL0004440181,אביב בניה,AVIV,אביב,AVIV
17,17,1137256,KYG8789K1242,אביליטי,ABILITY,אביל,ABIL
18,18,675017,IL0006750173,אברבוך,AVERBUCH,אברבך,AVER
19,19,297010,IL0002970106,אברות,AVROT,אברות,AVRT
21,21,722314,IL0007223147,אגוד,UNION,אגוד,UNON
33,33,1820083,IL0018200837,אדגר,ADGAR INV.,אדגר,ADGR
37,37,1105162,IL0011051625,אדרי-אל,EDRI-EL,אדרל,EDRL
40,40,1141571,IL0011415713,או פי סי אנרגיה,OPC ENERGY,אפסא,OPCE
41,41,1086230,IL0010862303,או.אר.טי,O.R.T.,ארטכ,ORTC
42,42,1139617,IL0011396178,אוברסיז,OVERSEAS,אובר,OVRS
43,43,1105907,IL0011059073,אוגווינד,AUGWIND,אוגנ,AUGN
45,45,1082965,IL0010829658,אודיוקודס,AUDIOCODES,אודק,AUDC
50,50,1135516,IL0011355166,אופטיבייס,OPTIBASE,אובס,OBAS
52,52,1094986,IL0010949860,אופל בלאנס,OPAL BALANCE,אופל,OPAL
53,53,1129543,US68375N1037,אופקו הלת',OPKO HEALTH,אפקו,OPK
54,54,265017,IL0002650179,אורביט,ORBIT,ארביט,ORBI
55,55,1104496,IL0011044968,אורד,ORAD,אורד,ORAD
57,57,1135706,IL0011357063,אורון קבוצה,ORON GROUP,אורנ,ORON
58,58,1103506,IL0011035065,אוריין,ORIAN,אורן,ORIN
60,60,1141324,US68403P2039,אורמד פארמ,ORAMED PHARM,ארמד,ORMP
61,61,1134402,US6866881021,אורמת טכנו,ORMAT TECHNO,ארמת,ORA
64,64,715011,IL0007150118,אזורים,AZORIM,אזרם,AZRM
70,70,1096106,IL0010961063,אטראו שוקי הון,ATREYU CAP,אטרא,ATRY
71,71,1084003,IL0010840036,אי.אל.די.,A.L.D.,אילד,ALD
72,72,175018,IL0001750186,איביאי בית השק,IBI INV HOUSE,אבא,IBI
76,76,169011,IL0001690119,איי.אי מערכות,AI SYSTEMS,אאמש,AICS
77,77,1155019,US4595061015,איי.אפ.אפ,IFF,אפאפ,IFF
78,78,281014,IL0002810146,איי.סי.אל,ICL,איסל,ICL
79,79,1097054,IL0010970544,איי.סי.בי,ICB,אסב,ICB
80,80,431015,IL0004310152,אייאיאס,IES,איאס,IES
81,81,1129501,IL0011295016,איידיאיי ביטוח,IDI INSUR,אדבט,IDIN
85,85,209015,IL0002090152,איילון,AYALON HOLD.,אילון,AYAL
90,90,1122415,IL0011224156,אייסקיור מדיקל,ICECURE MEDICAL,אסקמ,ICCM
91,91,1080753,IL0010807530,אילקס מדיקל,ILEX MEDICAL,אילקס,ILX
92,92,282012,IL0002820129,אימקו,IMCO,אמקו,IMCO
93,93,673012,IL0006730126,אינטליקנה,INTELICANNA,אנטל,INTL
96,96,1080928,IL0010809288,אינטר תעשיות,INTER INDSTRIES,אנתע,ININ
97,97,174011,IL0001740112,אינטרגאמא,INTERGAMA,אנטר,INTR
98,98,1083443,IL0010834435,אינטרנט זהב,INTERNET GOLD,אנזהב,IGLD
100,100,1106376,IL0011063760,אינטרקיור,INTERCURE,אנקר,INCR
101,101,1080688,IL0010806888,אינפימר,INFIMER,אנפר,INFR
102,102,1132356,IL0011323560,אינרום,INROM CONST,אנרם,INRM
103,103,1081074,IL0010810740,איסתא,ISSTA,אסתא,ISTA
104,104,363010,IL0003630105,אירודרום קבוצה,AERODROME GROUP,ארדמ,ARDM
105,105,1102458,IL0011024580,איתמר,ITAMAR,אתמר,ITMR
106,106,1087824,IL0010878242,אל על,EL AL,אלעל,ELAL
107,107,1081116,IL0010811169,אלביט הדמיה,ELBIT IMAGING,אלבהד,EMITF
109,109,474015,IL0004740150,אלביט מדקל טכ,ELBIT MEDITEC,אלמדט,EMTC
110,110,1081124,IL0010811243,אלביט מערכות,ELBIT SYSTEMS,אלבמע,ESLT
116,116,1159649,IL0011596496,אלדן תחב מסחרי7,ELDAN TRANS P7,אלדת.נ7,ELDT.P7
117,117,1165265,IL0011652653,אלדן תחב מסחרי8,ELDAN TRANS P8,אלדת.נ8,ELDT.P8
128,128,1099654,IL0010996549,אלוט,ALLOT,אלוט,ALLT
129,129,1082635,IL0010826357,אלומיי,ELLOMAY,אלומ,ELLO
132,132,1117688,IL0011176885,אלון גז,ALON GAS,אלגז,ALGS
135,135,390013,IL0003900136,אלוני חץ,ALONY HETZ,אלחץ,ALHE
