Name,Symbol,ISIN,Index,Closing Price (0.01 NIS),Change (%),Turnover(NIS thousands),Last Trade
A.L.D.,ALD,IL0010840036,,142,-3.99,26.12,EoD
ABILITY,ABIL,KYG8789K1242,,81.2,-2.99,33.17,EoD
ACCEL,ACCL,IL0007700169,,84.1,3.57,126.33,EoD
ADGAR INV.,ADGR,IL0018200837,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA-Investment Properties Abroad",493.1,0.18,1003.71,EoD
ADKA,ADKA,IL0011436438,"TA-Growth, TA-AllShare",230.9,12.52,436.66,EoD
AFCON HOLD,AFHL,IL0005780130,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",11200,0,61.83,EoD
AFI PROPERTIES,AFPR,IL0010913544,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Investment Properties Abroad",9701,0.27,6047.85,EoD
AFRICA INDUST,AFID,IL0008000114,,451,0,0,EoD
AFRICA RESIDENC,AFRE,IL0010979487,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Construction",8570,-0.78,33.34,EoD
AI SYSTEMS,AICS,IL0001690119,,155.2,0,0,EoD
AIRPORT CITY,ARPT,IL0010958358,"TA-35, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Investment Properties in Israel",5069,0.76,24421.52,EoD
ALBAAD,ALBA,IL0006250125,"TA-Maala Index, TA-Growth, TA-AllShare, TA-Rimon, TA-Industrials",2855,7.94,1633.85,EoD
ALGOMIZER,ALMO,IL0007440113,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Rimon",141.7,0.07,75.85,EoD
ALLIUM MEDICAL,ALMD,IL0011014508,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare",45.3,2.26,39.77,EoD
ALLOT,ALLT,IL0010996549,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance",3790,1.94,2577.31,EoD
ALMOGIM,ALMA,IL0011368292,,304.9,-4.39,694.67,EoD
ALON GAS,ALGS,IL0011176885,"TA-Growth, TA-AllShare, TA Oil & Gas Index",1539,8.84,42.45,EoD
ALONY HETZ,ALHE,IL0003900136,"TA-35, TA-125, TA-RealEstate, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Investment Properties in Israel",3680,-4.04,99790.66,EoD
ALROV PROPERT,ALRPR,IL0003870198,"TA-RealEstate, Tel-Div Index, TA-Growth, TA-AllShare, TA-Investment Properties Abroad",9028,1.79,254.67,EoD
ALTSHU FUND PEN,ASPF,IL0011590374,"TA-90, TA-125, TA-Finance Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150, TA Sector-Balance",1162,0.78,4421.48,EoD
AMANET,AMAN,IL0006540129,"TA-Growth, TA-AllShare",1776,0.4,7.39,EoD
AMIR MARK.,AMRK,IL0010922040,"TA-Growth, TA-AllShare",2256,8.25,1708.69,EoD
AMOT,AMOT,IL0010972789,"TA-35, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Investment Properties in Israel",1747,-1.85,55769.17,EoD
ANALYST,ANLT,IL0010806136,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus",1446,-1.97,519.27,EoD
ANGEL SALOMON,ANGL,IL0001800189,"TA-Growth, TA-AllShare, TA-Industrials",5684,0,0.4,EoD
APIO AFRICA-M,APIO.M,IL0003830184,,176,0,0,EoD
APOLLO POWER,APLP,IL0010821143,,110.3,-2.3,128.67,EoD
APPLY,APLY,IL0003630105,,44.6,-8.98,665.84,EoD
ARAD,ARD,IL0010916513,"TA-90, TA-125, Tel-Div Index, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",5661,3.13,1083.79,EoD
ARAD INVESTMENT,ARAD,IL0007310183,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150",27000,-0.84,2217.12,EoD
ARAN,ARAN,IL0010852650,"TA-Growth, TA-AllShare",880,0.84,3.14,EoD
ARENA GROUP,ARNA,IL0003660136,,3.6,-5.26,2.16,EoD
ARKO HOLDINGS,ARKO,IL0003100117,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Energy Utilities",85.9,13.62,3175.34,EoD
ARYT,ARYT,IL0005870147,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-Industrials",125.6,-1.41,174.61,EoD
ASHOT,ASHO,IL0003120172,"TA-Growth, TA-AllShare, TA-Industrials",1179,-0.92,1412.32,EoD
ASHTROM GROUP,ASHG,IL0011323156,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Family, TA-Construction",4865,2.85,6197.46,EoD
ASHTROM PROP,ASPR,IL0002510175,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA-Family, TA-Investment Properties in Israel",1622,-3.91,1821.14,EoD
ASPEN GROUP,ASGR,IL0003130155,"TA-SME60, TA-RealEstate, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150, TA-Investment Properties Abroad",599.7,-1.14,196.56,EoD
ATREYU CAP,ATRY,IL0010961063,"TA-90, TA-125, TA-Finance Index, Tel-Div Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150, TA Sector-Balance",5373,2.87,1312.13,EoD
AUDIOCODES,AUDC,IL0010829658,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",7914,0.42,6859.93,EoD
AUGWIND,AUGN,IL0011059073,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Rimon, TA-Energy Utilities",2849,0.78,662.12,EoD
AURA,AURA,IL0003730194,"TA-SME60, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA-Construction",121.9,-0.49,516.15,EoD
AUTO BANK SERV,SHVA,IL0011581613,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus, TA-Rimon",830.9,2.68,347.03,EoD
AVERBUCH,AVER,IL0006750173,"TA-Growth, TA-AllShare",2030,0.74,13.48,EoD
AVGOL,AVGL,IL0011009573,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",245.6,2.21,12.6,EoD
AVIATION LINKS,AVIA,IL0004130139,,551.2,2.78,35.7,EoD
AVIV,AVIV,IL0004440181,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Construction",1238,-0.24,30.62,EoD
AVIV ARLON,AVLN,IL0001060131,,235.8,0.6,8.07,EoD
AVROT,AVRT,IL0002970106,,26.8,-1.11,2.07,EoD
AYALON  HOLD.,AYAL,IL0002090152,"TA-SME60, TA-Finance Index, TA-AllShare, TA Insurance-Plus, TA-SME150",1287,0.86,59.06,EoD
AZORIM,AZRM,IL0007150118,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Construction",647,-2.21,2043.08,EoD
AZRIELI GROUP,AZRG,IL0011194789,"TA-35, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Family, TA-Investment Properties in Israel",18840,-0.05,61473.55,EoD
B COMMUNICATION,BCOM,IL0011076630,"TA-Growth, TA-AllShare, TA-Communication & InformationTechnology",354.1,2.85,393.87,EoD
B.YAIR,BYAR,IL0010972292,,1076,0,0,EoD
BABYLON,BBYL,IL0011016669,"TA-Growth, TA-AllShare",180.8,2.09,52.31,EoD
BARAN,BRAN,IL0002860133,"TA-Growth, TA-AllShare",252.9,0,0.19,EoD
BATM,BVC,IL0010849045,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150",238.9,6.94,5242.78,EoD
BAYSIDE LAND,BYSD,IL0007590198,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Investment Properties in Israel",190460,-2.28,33524.19,EoD
BAZAN,ORL,IL0025902482,"TA-35, TA-125, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Energy Utilities",104,3.9,16086.43,EoD
BET SHEMESH,BSEN,IL0010815616,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",7535,-4.02,1989.2,EoD
BEZEQ,BEZQ,IL0002300114,"TA-35, TA-125, Tel-Div Index, TA-AllShare, TA-Communication & InformationTechnology, TA-Rimon, TA Sector-Balance",246.1,0.49,34698.32,EoD
BGI-M,BGI-M,IL0010927098,,80.1,-16.13,28.68,EoD
BIG,BIG,IL0010972607,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Family, TA-Investment Properties in Israel",25700,-1.95,13858.75,EoD
BIO VIEW,BIOV,IL0010960495,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare",234.3,-1.51,48.92,EoD
BIOLIGHT,BOLT,IL0010952237,,753.1,0.95,25.24,EoD
BIOLINE RX,BLRX,IL0011015182,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon",40.4,2.8,204.1,EoD
BIOMX,PHGE,US09090D1037,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",1690,-4.03,49.79,EoD
BIRMAN,BIRM,IL0005300145,"TA-Growth, TA-AllShare, TA-Industrials",1081,-0.09,0.05,EoD
BLUE SQ REAL ES,BLSR,IL0010985658,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Investment Properties in Israel",14100,-0.56,3572.1,EoD
BONEI TICHON,BOTI,IL0005310128,,600.7,6.06,11.15,EoD
BONUS BIOGROUP,BONS,IL0004850116,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150",36.1,3.14,321.53,EoD
BRACK CAPIT N V,BCNV,NL0009690619,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA-Investment Properties Abroad",30000,2.15,1343.84,EoD
BRAINSWAY,BWAY,IL0011007189,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150",1350,3.37,301.8,EoD
BRAM INDUS,BRAM,IL0010945157,"TA-Growth, TA-AllShare, TA-Industrials",225.6,-0.04,0.19,EoD
BRAND,BRND,IL0005360115,"TA-Growth, TA-AllShare, TA-Industrials",325.2,-4.18,162.06,EoD
BRENMILLER,BNRG,IL0011415309,,539.9,10.64,167.98,EoD
BRILL,BRIL,IL0003990145,,401.7,1.95,4.81,EoD
BRIMAG,BRMG,IL0010942832,"TA-Growth, TA-AllShare",1235,0,1.01,EoD
C I SYSTEMS,CISY,IL0004420126,,505,0,0,EoD
CAMTEK,CAMT,IL0010952641,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",3445,3.7,1992.42,EoD
CAN FITE BIO,CANF,IL0010944739,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare",20.7,-1.9,332.59,EoD
CANNASSURE,CSURE,IL0001110134,,138.4,5.01,450.23,EoD
CANNBIT,CNBT,IL0010843675,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Rimon, TA-Industrials",667.9,-0.52,662.48,EoD
CANNOMED,CNMD,IL0011181166,,31.1,0.32,108.39,EoD
CANZON,CNZN,IL0010960073,,587.6,1.52,28.91,EoD
CAPITAL POINT,CPTP,IL0010971468,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare",34.3,-2.28,3.96,EoD
CARASSO,CRSO,IL0011238503,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Family",1035,7.24,1254.78,EoD
CARMIT,CRMT,IL0004400169,,1371,0,0,EoD
CASTRO,CAST,IL0002800162,"TA-Growth, TA-AllShare, TA-Industrials",3565,-5.56,2.92,EoD
CELLCOM,CEL,IL0011015349,"TA-90, TA-125, TA-AllShare, TA-Communication & InformationTechnology, TA-Rimon, TA-SME150, TA Sector-Balance",1198,5,3076.74,EoD
CHAM,CHAM,IL0003420143,,175.8,0,0,EoD
CHIRON,CHR,IL0004560129,,110.8,-8.73,126.37,EoD
CIM COM0.001$,CMCT,US1255255846,TA-Investment Properties Abroad,4698,0,0,EoD
CIM COMME.P L,CMCTP,US1255258576,,7680,0,30.49,EoD
CITRUS PLANT 5,CTPL5,IL0007160356,,43440,0,0,EoD
CITRUS PLANT1,CTPL1,IL0007160190,,16900,0.42,30.76,EoD
CLAL BEVERAGES,CLBV,IL0011476855,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",3849,3.3,504.63,EoD
CLAL BIOTECH,CBI,IL0011042806,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon",101.3,0.2,126.32,EoD
CLAL INSURANCE,CLIS,IL0002240146,"TA-90, TA-125, TA-Finance Index, TA-Maala Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150, TA Sector-Balance",3130,0.16,6842.58,EoD
COFIX GROUP,CFX,IL0003890154,,340.9,2.25,4.09,EoD
COHEN DEV,CDEV,IL0008100104,"TA-SME60, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA-SME150",6834,6.28,483.3,EoD
