,is_low_amount_of_data,df_count,ticker_name,is_nan_non_nan_ratio_problematic,nan_count,nan_non_nan_ratio,is_exist_nan_sequence,nan_sequences_count_and_indexes,number_of_nan_sequences,mean_of_nan_sequences_count,is_decimal_point_changed,number_of_corrupted_decimal_point,decimal_point_changed_indexs,is_ticker_stopped,ticker_stopped_diff,is_ticker_data_not_changed,ticker_data_not_changed_dictionary,is_ticker_data_not_exist
0,0.0,605.0,AURA,0.0,1.0,0.001653,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
1,0.0,605.0,AVGL,0.0,1.0,0.001653,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
2,0.0,605.0,EVGN,0.0,1.0,0.001653,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
3,0.0,605.0,AVLN,0.0,1.0,0.001653,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,1.0,"{'value': [210.1999969482422, 200.0, 228.1999969482422, 222.5, 213.8999938964844, 267.60000610351557, 261.60000610351557, 268.70001220703125, 255.0, 230.3999938964844, 238.8000030517578, 228.6000061035156], 'count': [9, 14, 9, 8, 15, 9, 8, 9, 19, 8, 9, 18], 'indexes': [(Timestamp('2018-05-06 00:00:00'), Timestamp('2018-05-15 00:00:00')), (Timestamp('2018-05-30 00:00:00'), Timestamp('2018-06-17 00:00:00')), (Timestamp('2018-09-09 00:00:00'), Timestamp('2018-09-18 00:00:00')), (Timestamp('2018-12-11 00:00:00'), Timestamp('2018-12-19 00:00:00')), (Timestamp('2019-01-06 00:00:00'), Timestamp('2019-01-23 00:00:00')), (Timestamp('2019-05-06 00:00:00'), Timestamp('2019-05-15 00:00:00')), (Timestamp('2019-10-31 00:00:00'), Timestamp('2019-11-10 00:00:00')), (Timestamp('2020-02-04 00:00:00'), Timestamp('2020-02-13 00:00:00')), (Timestamp('2020-03-16 00:00:00'), Timestamp('2020-04-12 00:00:00')), (Timestamp('2020-05-25 00:00:00'), Timestamp('2020-06-03 00:00:00')), (Timestamp('2020-07-08 00:00:00'), Timestamp('2020-07-19 00:00:00')), (Timestamp('2020-08-04 00:00:00'), Timestamp('2020-08-26 00:00:00'))]}",0
4,0.0,605.0,AVIV,0.0,1.0,0.001653,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,1.0,"{'value': [1072.0, 1098.0], 'count': [9, 8], 'indexes': [(Timestamp('2018-05-09 00:00:00'), Timestamp('2018-05-20 00:00:00')), (Timestamp('2018-05-23 00:00:00'), Timestamp('2018-05-31 00:00:00'))]}",0
5,0.0,605.0,ABIL,0.0,1.0,0.001653,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
6,0.0,605.0,AVER,0.0,1.0,0.001653,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
7,0.0,605.0,AVRT,0.0,87.0,0.143802,1.0,"{'index': [(Timestamp('2020-06-01 00:00:00'), Timestamp('2020-09-24 00:00:00'))], 'count': [79]}",1.0,79.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,1.0,"{'value': [31.00000023841858, 29.100000858306885, 28.600001335144054, 29.49999868869781, 30.700001120567322, 30.700001120567322, 34.49999988079071, 33.000001311302185, 35.4999989271164, 32.40000009536743, 33.70000123977661, 33.799999952316284, 34.29999947547913, 34.90000069141388, 37.79999911785126, 37.299999594688416, 31.700000166893005, 26.399999856948853], 'count': [15, 9, 16, 8, 17, 12, 8, 18, 9, 11, 16, 8, 11, 11, 9, 9, 10, 9], 'indexes': [(Timestamp('2018-12-03 00:00:00'), Timestamp('2018-12-20 00:00:00')), (Timestamp('2019-01-02 00:00:00'), Timestamp('2019-01-13 00:00:00')), (Timestamp('2019-02-18 00:00:00'), Timestamp('2019-03-10 00:00:00')), (Timestamp('2019-03-18 00:00:00'), Timestamp('2019-03-26 00:00:00')), (Timestamp('2019-04-07 00:00:00'), Timestamp('2019-04-28 00:00:00')), (Timestamp('2019-05-01 00:00:00'), Timestamp('2019-05-15 00:00:00')), (Timestamp('2019-05-23 00:00:00'), Timestamp('2019-06-02 00:00:00')), (Timestamp('2019-06-13 00:00:00'), Timestamp('2019-07-07 00:00:00')), (Timestamp('2019-08-22 00:00:00'), Timestamp('2019-09-02 00:00:00')), (Timestamp('2019-09-25 00:00:00'), Timestamp('2019-10-17 00:00:00')), (Timestamp('2019-11-05 00:00:00'), Timestamp('2019-11-25 00:00:00')), (Timestamp('2019-11-28 00:00:00'), Timestamp('2019-12-08 00:00:00')), (Timestamp('2019-12-10 00:00:00'), Timestamp('2019-12-23 00:00:00')), (Timestamp('2019-12-25 00:00:00'), Timestamp('2020-01-07 00:00:00')), (Timestamp('2020-01-19 00:00:00'), Timestamp('2020-01-28 00:00:00')), (Timestamp('2020-02-10 00:00:00'), Timestamp('2020-02-19 00:00:00')), (Timestamp('2020-03-11 00:00:00'), Timestamp('2020-03-23 00:00:00')), (Timestamp('2020-05-14 00:00:00'), Timestamp('2020-05-25 00:00:00'))]}",0
8,0.0,605.0,UNON,0.0,1.0,0.001653,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
9,0.0,605.0,ADGR,0.0,1.0,0.001653,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
10,0.0,605.0,EDRL,0.0,0.0,0.0,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,1.0,"{'value': [161.5, 156.6999969482422, 133.89999389648438, 96.0999984741211, 94.4000015258789, 88.5999984741211, 96.6999969482422], 'count': [76, 8, 56, 8, 8, 13, 8], 'indexes': [(Timestamp('2018-05-07 00:00:00'), Timestamp('2018-08-19 00:00:00')), (Timestamp('2018-08-21 00:00:00'), Timestamp('2018-08-29 00:00:00')), (Timestamp('2018-09-06 00:00:00'), Timestamp('2018-11-21 00:00:00')), (Timestamp('2019-09-08 00:00:00'), Timestamp('2019-09-16 00:00:00')), (Timestamp('2019-09-19 00:00:00'), Timestamp('2019-10-02 00:00:00')), (Timestamp('2020-03-12 00:00:00'), Timestamp('2020-03-29 00:00:00')), (Timestamp('2020-07-02 00:00:00'), Timestamp('2020-07-12 00:00:00'))]}",0
11,0.0,605.0,OPCE,0.0,1.0,0.001653,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
12,0.0,605.0,ORTC,0.0,1.0,0.001653,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
13,0.0,605.0,OVRS,0.0,1.0,0.001653,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
14,0.0,605.0,AUGN,0.0,1.0,0.001653,0.0,"{'index': [], 'count': []}",0.0,0.0,True,4.0,"DatetimeIndex(['2018-08-26', '2018-08-27', '2018-08-28', '2018-08-29'], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,1.0,"{'value': [4700.0, 2950.0, 2635.0, 2300.0, 3767.0, 3314.0, 3453.0, 3414.0, 1180.0], 'count': [82, 22, 13, 11, 8, 43, 13, 9, 9], 'indexes': [(Timestamp('2018-05-03 00:00:00'), Timestamp('2018-08-23 00:00:00')), (Timestamp('2018-10-03 00:00:00'), Timestamp('2018-10-31 00:00:00')), (Timestamp('2018-12-03 00:00:00'), Timestamp('2018-12-18 00:00:00')), (Timestamp('2019-02-24 00:00:00'), Timestamp('2019-03-07 00:00:00')), (Timestamp('2019-04-24 00:00:00'), Timestamp('2019-05-02 00:00:00')), (Timestamp('2019-07-14 00:00:00'), Timestamp('2019-09-09 00:00:00')), (Timestamp('2019-09-12 00:00:00'), Timestamp('2019-10-03 00:00:00')), (Timestamp('2019-10-07 00:00:00'), Timestamp('2019-10-24 00:00:00')), (Timestamp('2020-02-16 00:00:00'), Timestamp('2020-02-25 00:00:00'))]}",0
15,0.0,605.0,AUDC,0.0,2.0,0.003306,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
16,0.0,605.0,OBAS,0.0,0.0,0.0,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,1.0,"{'value': [3475.0, 3017.0, 3399.0, 3288.0, 4600.0], 'count': [19, 8, 8, 11, 11], 'indexes': [(Timestamp('2018-07-10 00:00:00'), Timestamp('2018-08-02 00:00:00')), (Timestamp('2018-09-18 00:00:00'), Timestamp('2018-09-26 00:00:00')), (Timestamp('2018-10-08 00:00:00'), Timestamp('2018-10-16 00:00:00')), (Timestamp('2018-10-18 00:00:00'), Timestamp('2018-10-31 00:00:00')), (Timestamp('2019-11-10 00:00:00'), Timestamp('2019-11-21 00:00:00'))]}",0
17,0.0,605.0,OPAL,0.0,1.0,0.001653,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
18,0.0,605.0,OPK,0.0,2.0,0.003306,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
19,0.0,605.0,ORBI,0.0,1.0,0.001653,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
20,0.0,605.0,ORAD,0.0,1.0,0.001653,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,1.0,"{'value': [47.5, 47.29999923706055], 'count': [11, 8], 'indexes': [(Timestamp('2020-06-01 00:00:00'), Timestamp('2020-06-15 00:00:00')), (Timestamp('2020-07-02 00:00:00'), Timestamp('2020-07-12 00:00:00'))]}",0
21,0.0,605.0,ORON,0.0,1.0,0.001653,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,1.0,"{'value': [209.3999938964844, 210.1999969482422], 'count': [8, 8], 'indexes': [(Timestamp('2019-04-15 00:00:00'), Timestamp('2019-04-23 00:00:00')), (Timestamp('2019-04-25 00:00:00'), Timestamp('2019-05-05 00:00:00'))]}",0
22,0.0,605.0,ORIN,0.0,1.0,0.001653,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
23,1.0,1.0,ORMP,0.0,0.0,0.0,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
24,0.0,406.0,ORA,0.0,0.0,0.0,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
25,0.0,605.0,AZRM,0.0,1.0,0.001653,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
26,0.0,605.0,ATRY,0.0,1.0,0.001653,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
27,0.0,605.0,ALD,0.0,0.0,0.0,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,1.0,"{'value': [311.7300109863281], 'count': [11], 'indexes': [(Timestamp('2018-09-13 00:00:00'), Timestamp('2018-09-26 00:00:00'))]}",0
28,0.0,605.0,IBI,0.0,1.0,0.001653,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,1.0,"{'value': [3430.0], 'count': [8], 'indexes': [(Timestamp('2019-01-15 00:00:00'), Timestamp('2019-01-23 00:00:00'))]}",0
29,0.0,605.0,AICS,0.0,1.0,0.001653,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
30,0.0,491.0,IFF,0.0,0.0,0.0,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
31,0.0,605.0,ICL,0.0,1.0,0.001653,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
32,0.0,605.0,ICB,0.0,0.0,0.0,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,1.0,"{'value': [88.80000305175781], 'count': [13], 'indexes': [(Timestamp('2018-09-09 00:00:00'), Timestamp('2018-09-24 00:00:00'))]}",0
33,0.0,605.0,IES,0.0,1.0,0.001653,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
34,0.0,605.0,IDIN,0.0,1.0,0.001653,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
35,0.0,605.0,AYAL,0.0,1.0,0.001653,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
36,0.0,605.0,ICCM,0.0,1.0,0.001653,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
37,0.0,605.0,ILX,0.0,103.0,0.170248,1.0,"{'index': [(Timestamp('2020-06-01 00:00:00'), Timestamp('2020-09-24 00:00:00'))], 'count': [79]}",1.0,79.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,0.0,"{'value': [], 'count': [], 'indexes': []}",0
38,0.0,605.0,IMCO,0.0,0.0,0.0,0.0,"{'index': [], 'count': []}",0.0,0.0,False,0.0,"DatetimeIndex([], dtype='datetime64[ns]', name='Unnamed: 0', freq=None)",False,4.0,1.0,"{'value': [1091.0, 1051.0, 950.0, 922.7000122070312, 915.0, 871.5999755859375, 865.0, 858.2999877929688, 865.0], 'count': [8, 9, 8, 12, 9, 15, 14, 9, 9], 'indexes': [(Timestamp('2018-08-02 00:00:00'), Timestamp('2018-08-12 00:00:00')), (Timestamp('2018-11-01 00:00:00'), Timestamp('2018-11-12 00:00:00')), (Timestamp('2019-02-17 00:00:00'), Timestamp('2019-02-25 00:00:00')), (Timestamp('2019-03-03 00:00:00'), Timestamp('2019-03-17 00:00:00')), (Timestamp('2019-03-20 00:00:00'), Timestamp('2019-03-31 00:00:00')), (Timestamp('2019-04-25 00:00:00'), Timestamp('2019-05-14 00:00:00')), (Timestamp('2019-06-05 00:00:00'), Timestamp('2019-06-23 00:00:00')), (Timestamp('2019-07-07 00:00:00'), Timestamp('2019-07-16 00:00:00')), (Timestamp('2019-07-29 00:00:00'), Timestamp('2019-08-07 00:00:00'))]}",0
